id,name,lga_id,status,created_at,updated_at,deleted_at
76,OVUNGWU,7,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
77,OVUOKWU,7,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
78,OKPORO AHABA,7,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
79,IMENYI,8,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
80,EZERE,8,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
81,ISIALA AMAWU,8,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
82,ISU AMAWU,8,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
83,OGUNDUASA,8,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
84,UMUNNEKWU,8,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
85,ACHARA / MGBUGWU,8,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
86,IKEAGHA I,8,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
87,IKEAGHA II,8,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
88,UMUANYI / ABSU,8,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
89,ABAYI  I,9,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
90,ABAYI  II,9,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
91,MGBOKO UMUANUNU,9,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
92,MGBOKO ITUNGWA,9,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
93,AHIABA,9,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
94,MABOKO AMAIRI,9,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
95,ALAUKWU OHANZE,9,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
96,AKUMAIMO,9,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
97,NDIAKATA / AMAIRINABUA,9,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
98,NTIGHAUZO AMAIRI,9,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
99,IBEME,9,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
100,ISIAMA OHAFIA,10,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
101,EBEM OHAFIA,10,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
102,NDI ELU NKPORO,10,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
103,NDI ETITI NKPORO,10,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
104,AMAEKE ABIRIBA,10,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
105,AMAOGUDU ABIRIBA,10,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
106,AGBOJI ABIRIBA,10,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
107,OHAFOR OHAFIA,10,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
108,OKAMU OHAFIA,10,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
109,ANIA OHOAFIA,10,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
110,NDI AGBO NKPORO,10,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
111,AMAVO,11,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
112,AMAITOLU MBUTU UMUOJIMA,11,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
113,AMASATOR,11,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
114,ARO - NGWA,11,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
115,AMA - ASAA,11,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
116,OSO - OKWA,11,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
