id,name,lga_id,,,
389,AJIYA,281,,,
1079,DAWAKI,281,,,
3250,BAJOGA,281,,,
3251,BOLARI EAST,281,,,
3252,BOLARI WEST,281,,,
3253,HERWAGANA,281,,,
3254,JEKA DAFARI,281,,,
3255,KUMBIYA - KUMBIYA,281,,,
3256,NASARAWA,281,,,
3257,PANTAMI,281,,,
3258,SHAMAKI,281,,,
